"Plot Title: 10432475"
"#";"Date Time, GMT+01:00";"Rain, mm (SEN S/N: 2301096)";"Solar Radiation, W/m² (SEN S/N: 2375827)";"Wind Speed, m/s (SEN S/N: 2385148)";"Gust Speed, m/s (SEN S/N: 2385148)";"Wind Direction, ø (SEN S/N: 2385148)";"Water Content, m³/m³ (SEN S/N: 2391324, LBL: 20cm)";"Water Content, m³/m³ (SEN S/N: 2391331, LBL: 5cm)";"Temp, °C (SEN S/N: 2397072)";"RH, % (SEN S/N: 2397072)"
1;2016-12-06 11:00:00;;425.6;0.00;0.00;35.1;0.0036;0.0973;3.617;21.900
2;2016-12-06 11:15:00;0.00;430.6;0.00;0.00;134.8;0.0036;0.0973;3.036;21.900
3;2016-12-06 11:30:00;0.00;433.1;0.00;0.19;122.1;0.0036;0.0973;2.450;23.600
4;2016-12-06 11:45:00;0.00;434.4;0.00;0.00;143.2;0.0036;0.0973;2.903;24.700
5;2016-12-06 12:00:00;0.00;430.6;0.00;0.00;130.6;0.0036;0.0979;3.301;22.900
6;2016-12-06 12:15:00;0.00;425.6;0.00;0.00;130.6;0.0036;0.0973;3.827;22.000
7;2016-12-06 12:30:00;0.00;418.1;0.00;0.00;105.3;0.0036;0.0979;4.011;21.800
8;2016-12-06 12:45:00;0.00;405.6;0.00;0.00;87.0;0.0036;0.0979;3.827;21.300
9;2016-12-06 13:00:00;0.00;389.4;0.00;0.56;115.1;0.0036;0.0979;3.854;21.700
10;2016-12-06 13:15:00;0.00;369.4;0.00;0.00;134.8;0.0036;0.0973;4.168;22.700
11;2016-12-06 13:30:00;0.00;350.6;0.00;0.00;126.4;0.0036;0.0979;4.714;23.000
12;2016-12-06 13:45:00;0.00;326.9;0.00;0.00;99.7;0.0036;0.0979;4.220;23.000
13;2016-12-06 14:00:00;0.00;299.4;0.00;0.00;133.4;0.0036;0.0973;4.194;22.500
14;2016-12-06 14:15:00;0.00;273.1;0.00;0.00;157.2;0.0036;0.0979;4.792;23.000
15;2016-12-06 14:30:00;0.00;243.1;0.00;0.00;115.1;0.0036;0.0979;4.869;23.900
16;2016-12-06 14:45:00;0.00;211.9;0.00;0.00;112.3;0.0036;0.0979;4.688;23.800
17;2016-12-06 15:00:00;0.00;180.6;0.00;0.00;88.4;0.0036;0.0979;4.688;24.000
18;2016-12-06 15:15:00;0.00;134.4;0.00;0.00;88.4;0.0036;0.0979;4.610;23.500
19;2016-12-06 15:30:00;0.00;86.9;0.00;0.00;88.4;0.0036;0.0979;4.115;23.100
20;2016-12-06 15:45:00;0.00;48.1;0.00;0.00;82.8;0.0036;0.0979;4.246;23.200
21;2016-12-06 16:00:00;0.00;18.1;0.00;0.00;57.6;0.0042;0.0979;2.823;23.500
22;2016-12-06 16:15:00;0.00;6.9;0.00;0.00;14.0;0.0036;0.0979;1.453;24.400
23;2016-12-06 16:30:00;0.00;3.1;0.00;0.00;1.4;0.0036;0.0979;0.934;26.900
24;2016-12-06 16:45:00;0.00;0.6;0.00;0.00;355.2;0.0036;0.0979;0.495;28.700
25;2016-12-06 17:00:00;0.00;0.6;0.00;0.00;355.2;0.0042;0.0979;0.825;30.600
26;2016-12-06 17:15:00;0.00;0.6;0.00;0.00;353.8;0.0042;0.0979;0.439;29.500
27;2016-12-06 17:30:00;0.00;0.6;0.00;0.00;346.8;0.0042;0.0979;0.687;30.000
28;2016-12-06 17:45:00;0.00;0.6;0.00;0.00;352.4;0.0042;0.0979;0.273;30.400
29;2016-12-06 18:00:00;0.00;0.6;0.00;0.00;335.5;0.0042;0.0979;0.356;30.500
30;2016-12-06 18:15:00;0.00;0.6;0.00;0.00;322.9;0.0042;0.0979;0.301;31.000
31;2016-12-06 18:30:00;0.00;0.6;0.00;0.00;313.1;0.0036;0.0979;0.024;29.600
32;2016-12-06 18:45:00;0.00;0.6;0.00;0.00;311.7;0.0042;0.0979;0.412;30.400
33;2016-12-06 19:00:00;0.00;0.6;0.00;0.00;307.5;0.0042;0.0979;-0.367;30.400
34;2016-12-06 19:15:00;0.00;0.6;0.00;0.00;341.2;0.0036;0.0979;0.163;31.900
35;2016-12-06 19:30:00;0.00;0.6;0.00;0.00;346.8;0.0036;0.0979;0.051;31.400
36;2016-12-06 19:45:00;0.00;0.6;0.00;0.00;336.9;0.0036;0.0979;-0.116;31.900
37;2016-12-06 20:00:00;0.00;0.6;0.00;0.00;345.4;0.0036;0.0979;-0.451;32.200
38;2016-12-06 20:15:00;0.00;0.6;0.00;0.00;320.1;0.0036;0.0979;-0.283;31.900
39;2016-12-06 20:30:00;0.00;0.6;0.00;0.00;327.1;0.0036;0.0979;-0.255;32.200
40;2016-12-06 20:45:00;0.00;0.6;0.00;0.00;342.6;0.0036;0.0979;-0.143;30.800
41;2016-12-06 21:00:00;0.00;0.6;0.00;0.00;335.5;0.0042;0.0979;-0.227;31.100
42;2016-12-06 21:15:00;0.00;0.6;0.00;0.00;349.6;0.0036;0.0979;-0.535;30.800
43;2016-12-06 21:30:00;0.00;0.6;0.00;0.00;317.3;0.0036;0.0979;-0.311;30.500
44;2016-12-06 21:45:00;0.00;0.6;0.00;0.00;314.5;0.0036;0.0979;-0.676;29.300
45;2016-12-06 22:00:00;0.00;0.6;0.00;0.00;336.9;0.0036;0.0979;-0.507;28.600
46;2016-12-06 22:15:00;0.00;0.6;0.00;0.00;321.5;0.0036;0.0979;-0.199;29.300
47;2016-12-06 22:30:00;0.00;0.6;0.00;0.00;310.3;0.0036;0.0979;-0.060;27.700
48;2016-12-06 22:45:00;0.00;0.6;0.00;0.00;311.7;0.0036;0.0979;-0.902;27.500
49;2016-12-06 23:00:00;0.00;0.6;0.00;0.00;335.5;0.0036;0.0979;-1.043;28.000
50;2016-12-06 23:15:00;0.00;0.6;0.00;0.00;322.9;0.0036;0.0979;-1.071;29.000
51;2016-12-06 23:30:00;0.00;0.6;0.00;0.00;315.9;0.0036;0.0979;-0.032;27.200
52;2016-12-06 23:45:00;0.00;0.6;0.00;0.00;283.6;0.0036;0.0979;-0.116;26.100
53;2016-12-07 00:00:00;0.00;0.6;0.00;0.00;292.0;0.0036;0.0979;-0.958;27.000
54;2016-12-07 00:15:00;0.00;0.6;0.00;0.00;348.2;0.0036;0.0979;-0.479;27.600
55;2016-12-07 00:30:00;0.00;0.6;0.00;0.00;355.2;0.0036;0.0979;0.190;25.900
56;2016-12-07 00:45:00;0.00;0.6;0.00;0.00;355.2;0.0036;0.0979;-0.339;26.500
57;2016-12-07 01:00:00;0.00;0.6;0.00;0.00;1.4;0.0036;0.0979;0.412;25.100
58;2016-12-07 01:15:00;0.00;0.6;0.00;0.00;355.2;0.0036;0.0979;0.135;25.000
59;2016-12-07 01:30:00;0.00;0.6;0.00;0.00;334.1;0.0036;0.0979;-0.004;24.200
60;2016-12-07 01:45:00;0.00;0.6;0.00;0.00;331.3;0.0036;0.0979;-0.451;24.500
61;2016-12-07 02:00:00;0.00;0.6;0.00;0.00;307.5;0.0036;0.0979;-0.451;23.900
62;2016-12-07 02:15:00;0.00;0.6;0.00;0.00;314.5;0.0036;0.0979;-0.479;24.200
