"Plot Title: Test Launch"
"#";"Date Time, GMT+01:00";"Rain, mm (SEN S/N: 2301096)";"Solar Radiation, W/m² (SEN S/N: 2375827)";"Wind Speed, m/s (SEN S/N: 2385148)";"Gust Speed, m/s (SEN S/N: 2385148)";"Wind Direction, ø (SEN S/N: 2385148)";"Voltage, V (SEN S/N: 2387796)";"Voltage, V (SEN S/N: 2387803)";"Water Content, m³/m³ (SEN S/N: 2391324, LBL: M1_water_content_5cm)";"Water Content, m³/m³ (SEN S/N: 2391331, LBL: M1_water_content_20cm)";"Temp, °C (SEN S/N: 2397072)";"RH, % (SEN S/N: 2397072)"
1;2013-05-13 12:45:02;;429.4;3.53;6.31;144.6;0.1910;0.0494;0.2453;0.1899;6.408;56.900
2;2013-05-13 13:00:02;0.00;499.4;1.30;4.08;200.8;0.2240;0.0641;0.2447;0.1904;6.813;55.800
3;2013-05-13 13:15:02;0.00;580.6;1.67;5.20;139.0;0.2618;0.0739;0.2441;0.1899;7.167;57.400
4;2013-05-13 13:30:02;0.00;386.9;2.04;4.27;130.6;0.1740;0.0507;0.2441;0.1899;7.594;54.400
5;2013-05-13 13:45:02;0.00;464.4;3.15;6.31;174.1;0.2081;0.0604;0.2436;0.1899;7.494;59.700
6;2013-05-13 14:00:02;0.00;379.4;4.45;7.61;178.3;0.1703;0.0494;0.2436;0.1899;6.914;56.300
7;2013-05-13 14:15:02;0.00;333.1;4.08;6.49;175.5;0.1495;0.0458;0.2430;0.1899;6.737;58.400
8;2013-05-13 14:30:02;0.00;934.4;2.97;7.24;158.6;0.4132;0.1300;0.2430;0.1899;7.368;60.700
9;2013-05-13 14:45:02;0.00;591.9;4.64;7.42;158.6;0.2631;0.0702;0.2424;0.1899;6.864;64.000
10;2013-05-13 15:00:02;0.00;710.6;4.08;7.42;164.3;0.3180;0.0714;0.2418;0.1899;7.268;59.100
11;2013-05-13 15:15:02;0.00;353.1;3.71;6.31;140.4;0.1556;0.0348;0.2418;0.1899;7.041;59.700
12;2013-05-13 15:30:02;0.00;885.6;3.34;5.57;148.8;0.3888;0.0726;0.2418;0.1899;7.695;58.300
13;2013-05-13 15:45:02;0.00;280.6;2.78;5.75;169.9;0.1251;0.0348;0.2413;0.1899;7.519;60.800
14;2013-05-13 16:00:02;0.00;291.9;2.41;5.38;167.1;0.1300;0.0348;0.2413;0.1899;7.293;60.500
15;2013-05-13 16:15:02;0.00;335.6;2.97;5.75;176.9;0.1483;0.0348;0.2413;0.1899;7.444;61.200
16;2013-05-13 16:30:02;0.00;195.6;3.15;5.38;167.1;0.0861;0.0214;0.2407;0.1899;7.116;61.500
17;2013-05-13 16:45:02;0.00;214.4;2.97;5.20;168.5;0.0958;0.0226;0.2407;0.1899;7.116;60.800
18;2013-05-13 17:00:02;0.00;215.6;2.60;5.20;186.7;0.0970;0.0189;0.2407;0.1899;7.368;61.300
19;2013-05-13 17:15:02;0.00;154.4;2.60;6.49;139.0;0.0690;0.0153;0.2401;0.1899;7.066;62.300
20;2013-05-13 17:30:02;0.00;171.9;0.74;3.53;92.7;0.0751;0.0128;0.2401;0.1899;7.594;58.800
21;2013-05-13 17:45:02;0.00;121.9;2.23;5.38;150.2;0.0507;0.0092;0.2401;0.1899;6.990;59.500
22;2013-05-13 18:00:02;0.00;111.9;1.67;5.38;124.9;0.0446;0.0079;0.2401;0.1899;7.015;59.300
23;2013-05-13 18:15:02;0.00;129.4;0.74;3.15;119.3;0.0507;0.0092;0.2401;0.1899;7.368;59.600
24;2013-05-13 18:30:02;0.00;113.1;0.93;3.34;129.2;0.0446;0.0092;0.2401;0.1899;7.192;59.800
25;2013-05-13 18:45:02;0.00;68.1;0.93;2.97;169.9;0.0275;0.0031;0.2396;0.1899;7.041;58.300
26;2013-05-13 19:00:02;0.00;39.4;1.11;4.45;217.6;0.0153;0.0006;0.2396;0.1899;6.737;57.800
27;2013-05-13 19:15:02;0.00;24.4;0.00;0.56;213.4;0.0079;0.0006;0.2396;0.1899;6.560;57.900
28;2013-05-13 19:30:02;0.00;10.6;2.23;4.64;195.1;0.0031;0.0006;0.2396;0.1899;6.306;58.400
29;2013-05-13 19:45:02;0.00;3.1;2.78;5.57;148.8;0.0006;0.0006;0.2396;0.1899;6.281;57.900
30;2013-05-13 20:00:02;0.00;0.6;1.30;3.53;207.8;0.0006;0.0006;0.2396;0.1899;6.458;55.400
31;2013-05-13 20:15:02;0.00;0.6;0.56;2.78;213.4;0.0006;0.0006;0.2396;0.1899;6.051;57.500
